,Proj,In,Out,Diff
0,Dev,,,
1,Test1,2022-11-16 15:57:31.245011,2022-11-16 16:08:41.268496,0 days 00:11:10.023485
2,Test2,2022-11-16 16:08:59.632042,2022-11-16 16:23:20.564753,0 days 00:14:20.932711
3,Test3,2022-11-16 16:23:54.590418,2022-11-16 16:35:20.996950,0 days 00:11:26.406532
4,NGG,2022-11-21 09:03:16.833343,2022-11-21 13:27:54.029518,0 days 04:24:37.196175
5,NGG,2022-11-21 13:33:25.422040,2022-11-21 13:37:12.073970,0 days 00:03:46.651930
6,NGG,2022-11-21 14:39:13.072678,2022-11-21 15:07:52.487166,0 days 00:28:39.414488
7,NGG,2022-11-21 15:22:12.506989,2022-11-21 15:22:27.024399,0 days 00:00:14.517410
8,IT,2022-11-21 15:22:30.696134,2022-11-21 15:32:30.365281,0 days 00:09:59.669147
9,NGG,2022-11-21 15:32:31.565816,2022-11-21 16:22:13.296759,0 days 00:29:41.730943
